code;nom;adresse;ville;tt;TYPE;image
75018;CAULAINCOURT;102, RUE DE CAULAINCOURT;PARIS;48.889552, 2.339419;E;https://cdn.create.vista.com/api/media/small/99799884/stock-photo-restaurant-exterior-design-with-tables-and-chairs
75018;CLIGNANCOURT;14-16, SQUARE CLIGNANCOURT;PARIS;48.893493, 2.347233;E;https://cdn.create.vista.com/api/media/small/170304842/stock-photo-young-girl-with-a-beautiful-smile-a-waiter-holds-in-her-hands-an-order-sweet
75006;ANDRE MALRAUX;112, RUE DE RENNES;PARIS;48.847869, 2.327529;E;https://cdn.create.vista.com/api/media/small/406415854/stock-photo-group-friends-restaurant-having-diner-toasting-white-wine
75020;SAINTS-SIMONIENS;18, RUE DE LA DUEE;PARIS;48.871268, 2.396821;E;https://cdn.create.vista.com/api/media/small/228587834/stock-photo-luxury-restaurant-contemporary-style-exquisite-modern-furniture-designer-listroy-hidden
75017;TERNES;28, RUE BAYEN;PARIS;48.880881, 2.293319;E;https://cdn.create.vista.com/api/media/small/207366516/stock-photo-professional-kitchen-view-counter-stainless-steel
75005;BOUTEBRIE;15, RUE DE LA PARCHEMINERIE;PARIS;48.851629, 2.344985;S;https://cdn.create.vista.com/api/media/small/359066538/stock-photo-modern-wooden-counter-zone-in-empty-cafe-green-plants
75019;TANGER;32, RUE DE TANGER;PARIS;48.888726, 2.371022;E;https://cdn.create.vista.com/api/media/small/429669148/stock-photo-nicely-served-new-year-table-restaurant-christmas-night-cafe-home
75011;CHANZY;6, RUE DE CHANZY;PARIS;48.852411, 2.3825250000000002;S;https://cdn.create.vista.com/api/media/small/188595178/stock-photo-meat
75015;OSCAR ROTY;107, RUE DE LOURMEL;PARIS;48.842921, 2.286317;E;https://cdn.create.vista.com/api/media/small/179240260/stock-photo-reception-room-decorated-tables-wedding-party
75011;OMER TALON;33-37, RUE MERLIN;PARIS;48.861868, 2.38454;E;https://cdn.create.vista.com/api/media/small/257232194/stock-photo-restaurant-interior-modern-setting-wine-and-water-glasses-for
